prompt,draft_model,variable,value
66,350,latency,13.36984706
66,350,tar,0.083333333
67,350,latency,7.960757256
67,350,tar,0.416666667
68,350,latency,8.377199888
68,350,tar,0.275
69,350,latency,7.090324163
69,350,tar,0.375
70,350,latency,7.964183807
70,350,tar,0.305555556
72,350,latency,7.051961184
72,350,tar,0.40625
73,350,latency,8.877551317
73,350,tar,0.25
74,350,latency,10.6048224
74,350,tar,0.229166667
75,350,latency,5.28144002
75,350,tar,0.625
76,350,latency,9.79750514
76,350,tar,0.272727273
77,350,latency,9.082616568
77,350,tar,0.25
78,350,latency,6.126125813
78,350,tar,0.464285714
79,350,latency,9.573113918
79,350,tar,0.204545455
80,350,latency,7.125659227
80,350,tar,0.40625
81,350,latency,10.56233811
81,350,tar,0.166666667
82,350,latency,13.25996828
82,350,tar,0.083333333
83,350,latency,7.969882488
83,350,tar,0.305555556
84,350,latency,10.69754767
84,350,tar,0.166666667
85,350,latency,5.352626562
85,350,tar,0.583333333
86,350,latency,9.149944305
86,350,tar,0.204545455
87,350,latency,7.077577114
87,350,tar,0.375
88,350,latency,3.510978699
88,350,tar,1
89,350,latency,8.686733246
89,350,tar,0.25
90,350,latency,11.72072053
90,350,tar,0.153846154
91,350,latency,4.185508966
91,350,tar,0.8
92,350,latency,4.459752321
92,350,tar,0.85
93,350,latency,10.6073525
93,350,tar,0.25
94,350,latency,6.960291386
94,350,tar,0.4375
95,350,latency,7.861355305
95,350,tar,0.305555556
96,350,latency,5.279857635
96,350,tar,0.583333333
97,350,latency,7.632999182
97,350,tar,0.305555556
98,350,latency,5.414777517
98,350,tar,0.708333333
99,350,latency,9.528047323
99,350,tar,0.227272727
0,125,latency,7.262535572
0,125,tar,0.305555556
1,125,latency,13.63856006
1,125,tar,0.073529412
2,125,latency,13.57150984
2,125,tar,0.044117647
3,125,latency,4.810358047
3,125,tar,0.625
4,125,latency,4.856354713
4,125,tar,0.583333333
5,125,latency,6.501596212
5,125,tar,0.40625
6,125,latency,5.695422649
6,125,tar,0.5
7,125,latency,5.568870783
7,125,tar,0.535714286
8,125,latency,6.383099079
8,125,tar,0.375
9,125,latency,5.393041372
9,125,tar,0.464285714
10,125,latency,5.613825321
10,125,tar,0.464285714
11,125,latency,8.759921074
11,125,tar,0.227272727
12,125,latency,8.848481178
12,125,tar,0.25
13,125,latency,8.072160006
13,125,tar,0.25
14,125,latency,8.920863867
14,125,tar,0.227272727
15,125,latency,8.045158148
15,125,tar,0.3
16,125,latency,8.812133312
16,125,tar,0.25
17,125,latency,8.748741865
17,125,tar,0.204545455
18,125,latency,7.17437315
18,125,tar,0.305555556
19,125,latency,7.544718504
19,125,tar,0.275
20,125,latency,7.137260199
20,125,tar,0.361111111
21,125,latency,8.035322428
21,125,tar,0.275
22,125,latency,7.302181005
22,125,tar,0.305555556
23,125,latency,7.249793291
23,125,tar,0.305555556
24,125,latency,6.47377038
24,125,tar,0.40625
25,125,latency,8.896806002
25,125,tar,0.25
26,125,latency,9.607700825
26,125,tar,0.166666667
27,125,latency,4.800475597
27,125,tar,0.583333333
28,125,latency,8.930748701
28,125,tar,0.227272727
29,125,latency,7.223311663
29,125,tar,0.333333333
30,125,latency,8.108399868
30,125,tar,0.35
31,125,latency,7.310808897
31,125,tar,0.305555556
32,125,latency,4.884906292
32,125,tar,0.75
33,125,latency,9.012419939
33,125,tar,0.204545455
34,125,latency,10.60332727
